email_text,label
"Dear Customer, your account has been compromised. Click here immediately to verify your identity: http://secure-banking-login.com/verify. Failure to act within 24 hours will result in permanent account suspension.",phishing
"Hi John, just wanted to follow up on our meeting yesterday. The Q3 reports look great. Let me know if you need anything else. Best regards, Sarah",safe
"URGENT: Your PayPal account has been limited! We noticed unusual activity. Please confirm your information at http://paypal-secure-verify.tk/login to restore access.",phishing
"Hey team, reminder that the office will be closed next Friday for the holiday. Please plan your work accordingly. Thanks, HR Department",safe
"Congratulations! You have been selected as the winner of our $1,000,000 lottery. To claim your prize, send your bank details to claims@lottery-winner-intl.com",phishing
"Dear valued customer, your Netflix subscription payment failed. Update your payment method here: http://netflix-billing-update.xyz/payment or your account will be cancelled.",phishing
"Hi Mike, I've attached the project proposal we discussed. Let me know your thoughts when you get a chance. Looking forward to your feedback!",safe
"ALERT: Suspicious login detected on your Apple ID from Moscow, Russia. If this wasn't you, secure your account immediately: http://apple-id-secure.tk/verify",phishing
"Good morning everyone, the team lunch has been moved to Thursday at 12:30 PM. We'll be going to the Italian restaurant on Main Street. Please RSVP by Wednesday.",safe
"Your Amazon order #384-2847382 has been shipped! Track your package at amazon.com/tracking. Estimated delivery: March 15.",safe
"WARNING: Your computer has been infected with a virus! Call Microsoft Support immediately at 1-800-FAKE-NUM to prevent data loss. Do not turn off your computer.",phishing
"Hi Lisa, thanks for sending over the budget spreadsheet. I've reviewed the numbers and everything looks good. I'll present it at the board meeting next week.",safe
"Dear user, we detected unusual sign-in activity on your Microsoft account. Verify your identity now at http://microsoft-account-verify.ru/secure or risk losing access.",phishing
"Hey everyone, just a reminder about the company picnic this Saturday at Central Park. Bring your families! Food and drinks will be provided.",safe
"Your Wells Fargo account has been temporarily locked due to suspicious activity. Click the link below to unlock: http://wellsfargo-secure.tk/unlock. Act now to avoid fees.",phishing
"Hi David, I wanted to let you know that the client approved our design mockups. Great work! Let's schedule a kickoff meeting for next week.",safe
"IMPORTANT: Your tax refund of $4,829.00 is pending. Submit your banking information at http://irs-refund-claim.com/submit to receive your refund within 48 hours.",phishing
"Good afternoon, the monthly newsletter is ready for review. I've included updates on company events, new hires, and upcoming training sessions.",safe
"Act now! Limited time offer - Get a FREE iPhone 15 Pro! Just pay shipping. Enter your credit card details at http://free-iphone-giveaway.tk/claim",phishing
"Hi team, please remember to submit your timesheets by end of day Friday. Contact HR if you have any questions about the new system.",safe
"Your Bank of America account requires immediate verification. Unusual transactions detected. Confirm your identity: http://boa-verify-account.xyz/login",phishing
"Hello, thank you for your purchase at Best Buy. Your receipt is attached. If you have any questions, please contact our customer service team.",safe
"FINAL WARNING: Your email account will be deactivated in 24 hours unless you verify your credentials at http://email-verify-urgent.com/confirm",phishing
"Hey Sarah, are we still on for coffee tomorrow morning? I was thinking we could meet at the café near the office around 9 AM.",safe
"Dear member, your account password expires today. Update it immediately at http://password-reset-secure.tk/update to maintain access to your account.",phishing
"Hi everyone, I wanted to share some exciting news - our team exceeded our quarterly targets by 15%! Great job to everyone involved.",safe
"Security Alert: Someone tried to access your Google account from an unknown device. Verify now: http://google-security-alert.tk/verify or your account will be locked.",phishing
"Good morning, the quarterly financial report has been uploaded to the shared drive. Please review and send your comments by next Wednesday.",safe
"You have inherited $5,000,000 from a distant relative in Nigeria. To claim your inheritance, please send $500 processing fee to our agent.",phishing
"Hi Mark, I've updated the project timeline as discussed. The new deadline is April 30th. Let me know if the team needs any additional resources.",safe
"URGENT: Your Citibank card ending in 4523 has been charged $2,499.99. If unauthorized, verify at http://citibank-fraud-alert.tk/verify immediately.",phishing
"Reminder: Annual performance reviews are coming up next month. Please complete your self-assessment forms by the 15th.",safe
"Claim your free $500 Walmart gift card! You've been specially selected. Provide your details at http://walmart-giftcard-free.com/claim. Limited slots available!",phishing
"Hi team, the office Wi-Fi will be down for maintenance this Saturday from 8 AM to 12 PM. Please plan accordingly.",safe
"Your Chase account has been compromised! Immediate action required. Reset your password at http://chase-account-reset.xyz/secure to protect your funds.",phishing
"Hello, this is a reminder about your dentist appointment on Thursday at 2:30 PM. Please arrive 15 minutes early to fill out paperwork.",safe
"NOTICE: Your Social Security Number has been suspended due to suspicious activity. Call immediately at 1-888-FAKE-SSN to reactivate.",phishing
"Hey Julia, great presentation today! The client was really impressed with the new marketing strategy. Let's discuss next steps tomorrow.",safe
"Dear customer, your DHL package is held at customs. Pay the $3.99 customs fee at http://dhl-customs-payment.tk/pay to release your package.",phishing
"Hi all, we're organizing a charity run next month. If you'd like to participate or volunteer, please sign up on the intranet by Friday.",safe
"Your LinkedIn account has been restricted. Unusual activity detected from your profile. Restore access at http://linkedin-restore.tk/verify now.",phishing
"Good afternoon, the cafeteria menu for next week has been posted on the bulletin board. New vegetarian options are now available!",safe
"ALERT: A virus has been detected on your device! Download our security tool immediately at http://antivirus-download.tk/install to protect your data.",phishing
"Hi Chris, I've reviewed your code changes and left some comments on the pull request. Overall looks good, just a few minor suggestions.",safe
"Congratulations! Your email has won the Microsoft Annual Lottery of $2,500,000. Forward your personal details to claims@microsoft-lottery-fake.com to claim.",phishing
"Hello team, please welcome our new colleague, Emily, who joins us as a Senior Designer starting Monday. Let's make her feel welcome!",safe
"IMPORTANT: Your iCloud storage is full. Your photos will be deleted in 48 hours. Upgrade now at http://icloud-upgrade.tk/storage immediately!",phishing
"Hi everyone, the parking lot will be repaved next weekend. Please use the overflow lot on Elm Street. Maps are posted at reception.",safe
"Dear valued user, your Facebook account will be disabled for violating community guidelines. Appeal this decision at http://fb-appeal.tk/verify",phishing
"Thanks for joining the webinar today! The recording and slides will be shared via email by end of day. Feel free to reach out with questions.",safe
"Your AT&T bill of $847.99 is past due. Service will be disconnected today. Pay now at http://att-billing-urgent.tk/pay to avoid interruption.",phishing
"Hi Patricia, just confirming our flight details for the conference next week. I've attached the itinerary. See you at the airport!",safe
"SECURITY BREACH: Your bank data has been exposed in a data leak. Protect yourself now at http://data-breach-protection.tk/secure",phishing
"Morning all, fresh donuts in the break room to celebrate our team anniversary! Come grab one before they're gone.",safe
"Your Spotify Premium subscription will be cancelled. Billing issue detected. Update payment at http://spotify-billing.tk/update to keep your music.",phishing
"Hi team, the conference room on the 3rd floor has been upgraded with a new projector and video conferencing system. Training sessions next week.",safe
"URGENT: IRS Notice - You owe $12,493 in back taxes. Failure to pay within 48 hours will result in legal action. Pay at http://irs-payment.tk/pay",phishing
"Hey Sam, thanks for covering my shift last week. I really appreciate it. Let me know if you ever need me to return the favor!",safe
"Dear customer, unusual spending pattern detected on your Visa card. Verify recent transactions at http://visa-verify.tk/transactions or card will be frozen.",phishing
"Good news everyone! The company holiday party is confirmed for December 20th at the Grand Hotel. Plus-ones are welcome. RSVP by Dec 10th.",safe
"YOUR ACCOUNT HAS BEEN HACKED! Change password NOW at http://account-hacked-fix.tk/reset. Your personal information is at risk!!!",phishing
"Hi Angela, the flowers for the office reception area have been delivered. Could you arrange them when you get a chance? Thanks!",safe
"Final Notice: Your domain name will expire in 24 hours. Renew immediately at http://domain-renew-urgent.tk/renew to avoid losing your website.",phishing
"Hello everyone, please note that the building fire drill is scheduled for next Tuesday at 10 AM. Please familiarize yourself with evacuation routes.",safe
"Dear winner, you have won a brand new BMW X5! To claim your prize, pay the $199 shipping fee at http://bmw-prize-claim.tk/pay",phishing
"Hi Robert, I've finalized the vendor contracts and sent them to legal for review. Should have signatures by end of week.",safe
"WARNING: Unauthorized access attempt on your Yahoo Mail. Secure your account at http://yahoo-security.tk/secure before it's permanently compromised!",phishing
"Team update: Our new office in the downtown location will open on January 15th. Tour dates will be announced next week.",safe
"Your WhatsApp account will be deleted in 24 hours for inactivity! Verify your number at http://whatsapp-verify.tk/confirm to keep your chats.",phishing
"Hi Jennifer, the birthday cake for Tom's surprise party is ordered. Can you distract him while we set up the conference room at 3 PM?",safe
